trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3408,False,"{'a': 0.01, 'e': 0.03305094444473364}",20,9,21.435181480765955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3409,False,"{'a': 0.01, 'e': 0.0330178935002889}",20,3,26.94418048779131,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3410,False,"{'a': 0.01, 'e': 0.032984875606788616}",25,19,10.924851798850863,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3411,False,"{'a': 0.01, 'e': 0.03295189073118183}",30,10,34.367525868100785,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3412,False,"{'a': 0.01, 'e': 0.03291893884045064}",20,11,18.48269501301547,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3413,False,"{'a': 0.01, 'e': 0.03288601990161019}",20,13,14.709672368350738,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3414,False,"{'a': 0.01, 'e': 0.03285313388170858}",20,0,32.371218998023004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3415,False,"{'a': 0.01, 'e': 0.03282028074782688}",25,17,14.564068782783234,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3416,False,"{'a': 0.01, 'e': 0.032787460467079046}",20,0,29.50708583198906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3417,False,"{'a': 0.01, 'e': 0.032754673006611966}",20,0,28.73672051677867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3418,False,"{'a': 0.01, 'e': 0.032721918333605354}",20,8,22.95455716637119,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3419,False,"{'a': 0.01, 'e': 0.03268919641527175}",30,20,18.14504203260786,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3420,False,"{'a': 0.01, 'e': 0.032656507218856476}",25,0,43.42262587647118,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3421,False,"{'a': 0.01, 'e': 0.03262385071163762}",20,15,9.744841572398988,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3422,False,"{'a': 0.01, 'e': 0.032591226860925984}",30,18,22.237144848755655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3423,False,"{'a': 0.01, 'e': 0.03255863563406506}",30,16,23.852352639320813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3424,False,"{'a': 0.01, 'e': 0.03252607699843099}",20,6,9.470010703156422,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3425,False,"{'a': 0.01, 'e': 0.032493550921432565}",20,9,19.972742441401294,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3426,False,"{'a': 0.01, 'e': 0.03246105737051113}",30,15,28.463877752749283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3427,False,"{'a': 0.01, 'e': 0.03242859631314062}",35,23,15.464539212581347,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3428,False,"{'a': 0.01, 'e': 0.032396167716827476}",20,12,0.1706238184166784,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3429,False,"{'a': 0.01, 'e': 0.03236377154911065}",20,7,21.451610119375548,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3430,False,"{'a': 0.01, 'e': 0.03233140777756154}",25,8,28.125129174421673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3431,False,"{'a': 0.01, 'e': 0.03229907636978398}",20,6,25.26015636749513,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3432,False,"{'a': 0.01, 'e': 0.03226677729341419}",30,21,11.931153918067222,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3433,False,"{'a': 0.01, 'e': 0.03223451051612078}",25,9,28.918907002101754,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3434,False,"{'a': 0.01, 'e': 0.03220227600560466}",20,7,23.88837349728884,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3435,False,"{'a': 0.01, 'e': 0.032170073729599055}",25,18,11.409021759997733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3436,False,"{'a': 0.01, 'e': 0.03213790365586946}",20,8,13.918119393244336,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
3437,False,"{'a': 0.01, 'e': 0.032105765752213584}",30,22,16.636692830080328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3438,False,"{'a': 0.01, 'e': 0.032073659986461375}",30,17,3.7456129468605894,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
3439,False,"{'a': 0.01, 'e': 0.03204158632647491}",25,9,28.386206136318552,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3440,False,"{'a': 0.01, 'e': 0.032009544740148436}",25,13,27.27384235068554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3441,False,"{'a': 0.01, 'e': 0.03197753519540829}",20,15,9.753977347722689,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3442,False,"{'a': 0.01, 'e': 0.03194555766021288}",20,6,13.569798491391204,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3443,False,"{'a': 0.01, 'e': 0.03191361210255267}",35,13,41.47237355552802,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3444,False,"{'a': 0.01, 'e': 0.03188169849045011}",25,9,30.25406376033814,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3445,False,"{'a': 0.01, 'e': 0.03184981679195966}",30,16,23.56662187147621,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3446,False,"{'a': 0.01, 'e': 0.03181796697516771}",25,7,-8.344216679821264,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
3447,False,"{'a': 0.01, 'e': 0.03178614900819254}",25,11,27.41123249297459,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3448,False,"{'a': 0.01, 'e': 0.03175436285918434}",30,18,21.807185595029885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3449,False,"{'a': 0.01, 'e': 0.03172260849632516}",20,8,26.20363214918313,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3450,False,"{'a': 0.01, 'e': 0.03169088588782883}",30,16,30.238884692429554,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3451,False,"{'a': 0.01, 'e': 0.031659195001941004}",25,8,31.018294107264342,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3452,False,"{'a': 0.01, 'e': 0.03162753580693906}",20,13,14.963643177529123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3453,False,"{'a': 0.01, 'e': 0.03159590827113212}",30,16,26.99331764991083,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3454,False,"{'a': 0.01, 'e': 0.031564312362860995}",20,14,12.94323109134772,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3455,False,"{'a': 0.01, 'e': 0.03153274805049813}",25,16,17.23158983105825,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3456,False,"{'a': 0.01, 'e': 0.031501215302447635}",30,19,19.764162685991813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3457,False,"{'a': 0.01, 'e': 0.03146971408714519}",30,18,9.82995355415052,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3458,False,"{'a': 0.01, 'e': 0.03143824437305804}",25,20,10.728152491886444,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3459,False,"{'a': 0.01, 'e': 0.03140680612868498}",20,11,9.465544157590973,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
3460,False,"{'a': 0.01, 'e': 0.0313753993225563}",20,5,14.642769149375336,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
3461,False,"{'a': 0.01, 'e': 0.031344023923233745}",25,13,10.252952095083355,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3462,False,"{'a': 0.01, 'e': 0.03131267989931051}",20,4,29.203217168068313,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3463,False,"{'a': 0.01, 'e': 0.031281367219411195}",30,20,23.546246872521785,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3464,False,"{'a': 0.01, 'e': 0.031250085852191786}",25,15,7.463509706927965,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
3465,False,"{'a': 0.01, 'e': 0.031218835766339593}",25,13,23.23664204473415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3466,False,"{'a': 0.01, 'e': 0.031187616930573255}",30,15,27.07376152096279,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3467,False,"{'a': 0.01, 'e': 0.03115642931364268}",20,16,8.34303034181089,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3468,False,"{'a': 0.01, 'e': 0.03112527288432904}",20,8,23.338412061378182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3469,False,"{'a': 0.01, 'e': 0.03109414761144471}",20,13,9.606987883149767,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3470,False,"{'a': 0.01, 'e': 0.031063053463833264}",25,8,19.697905813066264,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3471,False,"{'a': 0.01, 'e': 0.031031990410369432}",30,10,27.831219647494844,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
3472,False,"{'a': 0.01, 'e': 0.031000958419959063}",25,17,17.031187705723358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3473,False,"{'a': 0.01, 'e': 0.030969957461539105}",25,15,20.373632967952567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3474,False,"{'a': 0.01, 'e': 0.030938987504077566}",20,6,27.605115808697615,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
